Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Synaptic vesicle cycle	5/78	0.000993174217623077	0.019118603689244236	0	0	6.574621959237343	45.460910345592545	ATP6V1A;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	Complement and coagulation cascades	5/79	0.0010520079320614686	0.01905990841617249	0	0	6.491398896462187	44.511876823840716	FGB;C1QA;VTN;ITGAM;ITGB2
KEGG_2019_Human	Human papillomavirus infection	10/330	0.0015396168662353072	0.026344555266693038	0	0	3.1080031080031083	20.1281171147425	ATP6V1A;VTN;ATP6V1G1;PKM;STAT1;MX1;LAMA3;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	Tuberculosis	7/179	0.001906801273374535	0.030910252221018775	0	0	4.0108866924509385	25.11748870808609	PPP3CA;ITGAM;STAT1;ITGB2;TCIRG1;ATP6V0D1;CAMP
KEGG_2019_Human	IL-17 signaling pathway	5/93	0.0021743559743033513	0.0334850820042716	0	0	5.51419906258616	33.80767996723155	HSP90AA1;MMP1;MUC5B;MMP9;MUC5AC
KEGG_2019_Human	Antigen processing and presentation	4/77	0.006815089089011579	0.09995463997216984	0	0	5.32800532800533	26.579373380913626	HSP90AA1;HSPA5;TAP1;PSME2
KEGG_2019_Human	Bladder cancer	3/41	0.007410628914677368	0.10374880480548317	0	0	7.504690431519699	36.809305587242726	MMP1;MMP9;TYMP
KEGG_2019_Human	Oxidative phosphorylation	5/133	0.009854173600103313	0.13196023777529653	0	0	3.85579332947754	17.813226133772034	ATP6V1A;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	Chemokine signaling pathway	6/190	0.010959296978587909	0.1406443112252115	0	0	3.238866396761133	14.618840951608176	LYN;FGR;PREX1;NCF1;STAT1;ARRB2
KEGG_2019_Human	Legionellosis	3/55	0.016517591089248915	0.20349672221954665	0	0	5.594405594405594	22.955688611825646	ITGAM;ITGB2;NFKB2
KEGG_2019_Human	HIF-1 signaling pathway	4/100	0.016628597276537788	0.19698492158360148	0	0	4.102564102564103	16.8066926699912	HK3;CYBB;ENO1;TIMP1
KEGG_2019_Human	Pyrimidine metabolism	3/57	0.018164225439125974	0.20720671982410374	0	0	5.3981106612685545	21.637253735538106	RRM1;UPP1;TYMP
KEGG_2019_Human	Drug metabolism	4/108	0.021414029681251175	0.23555432649376296	0	0	3.7986704653371315	14.600983776560069	RRM1;UPP1;MPO;TYMP
KEGG_2019_Human	Protein processing in endoplasmic reticulum	5/165	0.022972699174458443	0.24398590847355864	0	0	3.1080031080031083	11.727890475528527	DNAJA1;HSP90AA1;HSPA5;HSPA4L;SEC24D
KEGG_2019_Human	Central carbon metabolism in cancer	3/65	0.02563272300440979	0.26316262284527386	0	0	4.733727810650888	17.343836692985178	HK3;PKM;SLC16A3
KEGG_2019_Human	Influenza A	5/171	0.026287213767618747	0.2611761884008572	0	0	2.99895036737142	10.912198610131242	MAP2K3;IVNS1ABP;STAT1;MX1;ICAM1
KEGG_2019_Human	Fc epsilon RI signaling pathway	3/68	0.02879736986662798	0.2771746849662943	0	0	4.524886877828054	16.051905973239602	MAP2K3;LYN;LCP2
KEGG_2019_Human	Glycolysis / Gluconeogenesis	3/68	0.02879736986662798	0.2687754520885278	0	0	4.524886877828054	16.051905973239602	HK3;PKM;ENO1
KEGG_2019_Human	Lysosome	4/123	0.03246391130167278	0.2940848435563299	0	0	3.335417969564312	11.432566114181876	CD63;NPC1;TCIRG1;ATP6V0D1
KEGG_2019_Human	Platelet activation	4/124	0.033299334957773444	0.2930341476284063	0	0	3.3085194375516958	11.256303898869149	LYN;FGB;LCP2;ARHGEF1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	5/186	0.03586194452113235	0.306818858680799	0	0	2.75709953129308	9.175843912112002	LYN;PREX1;PPP3CA;STAT1;ICAM1
KEGG_2019_Human	Purine metabolism	4/129	0.03766402277803595	0.3135275409631101	0	0	3.180282250049692	10.428304331178753	RRM1;PKM;AMPD3;ADSS
KEGG_2019_Human	Pertussis	3/76	0.03819788324197474	0.3096038957507425	0	0	4.048582995951417	13.21852298550076	C1QA;ITGAM;ITGB2
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	4/131	0.03949763708177846	0.3119300569535325	0	0	3.131728322568017	10.120225263899348	PPP3CA;ITGB2;LCP2;ICAM1
KEGG_2019_Human	RNA degradation	3/79	0.0420786413060061	0.324005538056247	0	0	3.894839337877313	12.339688410630306	XRN1;EXOSC9;ENO1
KEGG_2019_Human	Alanine, aspartate and glutamate metabolism	2/35	0.045600419567978834	0.3425592494374995	0	0	5.86080586080586	18.097221166018805	IL4I1;ADSS
KEGG_2019_Human	Prion diseases	2/35	0.045600419567978834	0.3344030768318448	0	0	5.86080586080586	18.097221166018805	C1QA;HSPA5
KEGG_2019_Human	Proteoglycans in cancer	5/201	0.04734247650612786	0.3391042503229624	0	0	2.5513458349279245	7.782491039879178	CD63;VTN;ARHGEF1;EZR;MMP9
KEGG_2019_Human	Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.04781305548173378	0.3346913883721365	0	0	20.512820512820515	62.368339477830865	HK3
KEGG_2019_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	1/5	0.04781305548173378	0.3272538019638668	0	0	20.512820512820515	62.368339477830865	IL4I1
KEGG_2019_Human	Starch and sucrose metabolism	2/36	0.04798025798944483	0.32125911871193497	0	0	5.698005698005698	17.304647547376174	GYS1;HK3
KEGG_2019_Human	Rap1 signaling pathway	5/206	0.051601691265068576	0.3381557640349175	0	0	2.4894199651481204	7.379140728346872	MAP2K3;ITGAM;ITGB2;LCP2;EPHA2
KEGG_2019_Human	Cell adhesion molecules (CAMs)	4/145	0.0537372248131517	0.3448138592177234	0	0	2.8293545534924847	8.272040511035428	ITGAM;ITGB2;ICAM3;ICAM1
KEGG_2019_Human	Vitamin B6 metabolism	1/6	0.057099177968155335	0.35890911865697633	0	0	17.094017094017097	48.93958220133929	PSAT1
KEGG_2019_Human	NF-kappa B signaling pathway	3/95	0.06591499519217657	0.4060363703838077	0	0	3.238866396761133	8.807738684087298	LYN;ICAM1;NFKB2
KEGG_2019_Human	Glycerophospholipid metabolism	3/97	0.06925017517943187	0.4182167442208828	0	0	3.1720856463124507	8.469562582873918	LPGAT1;MBOAT7;LPCAT1
KEGG_2019_Human	MAPK signaling pathway	6/295	0.0695401558392208	0.4118916922784616	0	0	2.086049543676662	5.561097077243849	MAP2K3;PPP3CA;STMN1;ARRB2;EPHA2;NFKB2
KEGG_2019_Human	Type II diabetes mellitus	2/46	0.07404394410079825	0.4302931091140729	0	0	4.459308807134893	11.608011250081224	HK3;PKM
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	0.07439345118671553	0.4243182030649701	0	0	3.0769230769230766	7.995038039080485	STAT1;CYBB;ICAM1
KEGG_2019_Human	Glucagon signaling pathway	3/103	0.0797014619827713	0.4463281871035193	0	0	2.9873039581777445	7.556287826082655	PPP3CA;GYS1;PKM
KEGG_2019_Human	C-type lectin receptor signaling pathway	3/104	0.08150663215707361	0.4482864768639049	0	0	2.9585798816568047	7.417369484869134	PPP3CA;STAT1;NFKB2
KEGG_2019_Human	Malaria	2/49	0.08257517112746071	0.4461956615308403	0	0	4.186289900575615	10.440800566485274	ITGB2;ICAM1
KEGG_2019_Human	Cholesterol metabolism	2/50	0.08548315249757295	0.4539450167112495	0	0	4.102564102564103	10.08999372007265	NPC1;PCSK9
KEGG_2019_Human	Th17 cell differentiation	3/107	0.08702725445391055	0.4543117690136347	0	0	2.8756290438533427	7.020945908845565	PPP3CA;HSP90AA1;STAT1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	2/51	0.08842177408993238	0.4538984403283195	0	0	4.0221216691804935	9.756207245587268	MAP2K3;PPP3CA
KEGG_2019_Human	TNF signaling pathway	3/110	0.09270187691550634	0.4680684932782943	0	0	2.797202797202797	6.6527735927680665	MAP2K3;MMP9;ICAM1
KEGG_2019_Human	Toxoplasmosis	3/113	0.0985256878082014	0.489450191047194	0	0	2.722940776038121	6.310246357720622	MAP2K3;STAT1;LAMA3
KEGG_2019_Human	Pathogenic Escherichia coli infection	2/55	0.10046553981823136	0.4911648613335755	0	0	3.7296037296037294	8.57040745049178	ARHGEF2;EZR
KEGG_2019_Human	Glutathione metabolism	2/56	0.1035446394695564	0.4983085774472402	0	0	3.663003663003663	8.306785567900079	RRM1;PGD
KEGG_2019_Human	Transcriptional misregulation in cancer	4/186	0.10903442702947357	0.5166554388473517	0	0	2.205679625034464	4.887988094434432	FUT8;ITGAM;MPO;MMP9
KEGG_2019_Human	Viral myocarditis	2/59	0.11293267769125608	0.5270191625591951	0	0	3.476749239461104	7.582662878597443	ITGB2;ICAM1
KEGG_2019_Human	Cell cycle	3/124	0.1210758267428066	0.5565873826385737	0	0	2.481389578163772	5.239052760207019	MCM7;MCM3;MCM4
KEGG_2019_Human	Viral carcinogenesis	4/201	0.13384224898847544	0.6062266571830947	0	0	2.04107666794234	4.1047958543379695	LYN;PKM;ATP6V0D1;NFKB2
KEGG_2019_Human	Relaxin signaling pathway	3/130	0.1341041026021123	0.5986096174123274	0	0	2.366863905325444	4.75535833268604	MMP1;ARRB2;MMP9
KEGG_2019_Human	Acute myeloid leukemia	2/66	0.13562052627439575	0.5967303156073414	0	0	3.1080031080031083	6.209462443595033	ITGAM;MPO
KEGG_2019_Human	Aminoacyl-tRNA biosynthesis	2/66	0.13562052627439575	0.5883256632748436	0	0	3.1080031080031083	6.209462443595033	WARS;AARS
KEGG_2019_Human	B cell receptor signaling pathway	2/71	0.1523907490187035	0.6518937596911205	0	0	2.8891296496930297	5.43534081487625	LYN;PPP3CA
KEGG_2019_Human	Phenylalanine metabolism	1/17	0.15348711994218184	0.6475894923587946	0	0	6.033182503770739	11.307020359860694	IL4I1
KEGG_2019_Human	Regulation of actin cytoskeleton	4/214	0.15702938191779475	0.6535817517659566	0	0	1.9170860292355616	3.549144203537478	ITGAM;ITGB2;ARHGEF1;EZR
KEGG_2019_Human	PPAR signaling pathway	2/74	0.1626393962208772	0.6679057871470689	0	0	2.772002772002772	5.034566381245804	MMP1;PLIN2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	4/219	0.1663233543853803	0.6740472782986465	0	0	1.8733169418100923	3.3603961454133966	PPP3CA;ITGB2;ICAM1;NFKB2
KEGG_2019_Human	MicroRNAs in cancer	5/299	0.16847868305312505	0.6739147322125002	0	0	1.7151187719749592	3.0545339975358354	STMN1;FSCN1;EZR;MMP9;SERPINB5
KEGG_2019_Human	Pantothenate and CoA biosynthesis	1/19	0.16992794096318362	0.6709975104700071	0	0	5.3981106612685545	9.567507738084467	VNN2
KEGG_2019_Human	mTOR signaling pathway	3/152	0.18550476018522705	0.7232337485702522	0	0	2.0242914979757085	3.4102727447125667	ATP6V1A;ATP6V1G1;ATP6V1B2
KEGG_2019_Human	Arginine biosynthesis	1/21	0.18605105735925376	0.716296570833127	0	0	4.884004884004884	8.213597758272165	ARG1
KEGG_2019_Human	ECM-receptor interaction	2/82	0.1905135057444126	0.7244217255466553	0	0	2.5015634771732334	4.1476727720632285	VTN;LAMA3
KEGG_2019_Human	Peroxisome	2/83	0.1940435052333104	0.7288463367299952	0	0	2.4714241581711462	4.052327195007671	PEX11B;SOD2
KEGG_2019_Human	Mismatch repair	1/23	0.2018625773438332	0.7490804074927785	0	0	4.459308807134893	7.135643805020973	RFC4
KEGG_2019_Human	Protein export	1/23	0.2018625773438332	0.7401627835940551	0	0	4.459308807134893	7.135643805020973	HSPA5
KEGG_2019_Human	Cellular senescence	3/160	0.20533650776151496	0.7440428751829012	0	0	1.9230769230769231	3.044432969920618	MAP2K3;PPP3CA;RBBP4
KEGG_2019_Human	Necroptosis	3/162	0.21036969349056694	0.7534170418034258	0	0	1.8993352326685657	2.9608525182125187	HSP90AA1;STAT1;CYBB
KEGG_2019_Human	Hepatitis B	3/163	0.21289658413446869	0.7537028495794984	0	0	1.8876828692779613	2.9201486581810374	MAP2K3;STAT1;MMP9
KEGG_2019_Human	RNA transport	3/165	0.2179700751677091	0.7628952630869819	0	0	1.8648018648018647	2.8408344904210967	NUP210;PHAX;EIF3C
KEGG_2019_Human	Salivary secretion	2/90	0.21896221210188896	0.7577568688469865	0	0	2.2792022792022792	3.461780311187748	MUC5B;CAMP
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	2/91	0.2225461949885428	0.7616025339607908	0	0	2.2541561003099466	3.3871413491111326	LYN;NCF1
KEGG_2019_Human	Th1 and Th2 cell differentiation	2/92	0.226134870335908	0.7653795611369193	0	0	2.2296544035674466	3.314657048627128	PPP3CA;STAT1
KEGG_2019_Human	Prostate cancer	2/97	0.2441338727447025	0.8173177478844387	0	0	2.1147237642083003	2.981842020316942	HSP90AA1;MMP9
KEGG_2019_Human	Progesterone-mediated oocyte maturation	2/99	0.2513518804834904	0.8324341848270435	0	0	2.0720020720020718	2.8612305772346227	STK10;HSP90AA1
KEGG_2019_Human	Nicotinate and nicotinamide metabolism	1/30	0.2548345474113887	0.8349897936458266	0	0	3.418803418803418	4.673985566113528	NADK
KEGG_2019_Human	Pentose phosphate pathway	1/30	0.2548345474113887	0.8262004273969232	0	0	3.418803418803418	4.673985566113528	PGD
KEGG_2019_Human	T cell receptor signaling pathway	2/101	0.2585757740866768	0.8295972751947548	0	0	2.030972328002031	2.7470251293398733	PPP3CA;LCP2
KEGG_2019_Human	Axon guidance	3/181	0.2593470636407241	0.8234937690860107	0	0	1.6999575010624737	2.2942424143533042	PPP3CA;EPHB4;EPHA2
KEGG_2019_Human	Pathways in cancer	7/530	0.2603462677313481	0.8182311271556655	0	0	1.3546202225447508	1.8229703232515948	HSP90AA1;STAT1;MMP1;LAMA3;ARHGEF1;MMP9;NFKB2
KEGG_2019_Human	Galactose metabolism	1/31	0.2621108142135657	0.8154558664422044	0	0	3.3085194375516958	4.430067525649924	HK3
KEGG_2019_Human	Mucin type O-glycan biosynthesis	1/31	0.2621108142135657	0.8073013077777823	0	0	3.3085194375516958	4.430067525649924	GALNT5
KEGG_2019_Human	PI3K-Akt signaling pathway	5/354	0.2639754738440906	0.8049945142968307	0	0	1.4486455164421266	1.929449633865285	GYS1;VTN;HSP90AA1;LAMA3;EPHA2
KEGG_2019_Human	Toll-like receptor signaling pathway	2/104	0.2694162699424569	0.8135314817870266	0	0	1.9723865877712032	2.5867803226353185	MAP2K3;STAT1
KEGG_2019_Human	Fructose and mannose metabolism	1/33	0.2764519630432678	0.8266718894886066	0	0	3.1080031080031083	3.9960161781673653	HK3
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	2/106	0.2766422972705305	0.8192868034550327	0	0	1.935171746492501	2.486753658236619	ARHGEF1;ARRB2
KEGG_2019_Human	SNARE interactions in vesicular transport	1/34	0.2835182049869584	0.8316534012950779	0	0	3.016591251885369	3.802349751898903	STX5
KEGG_2019_Human	Tyrosine metabolism	1/36	0.2974453748108499	0.8642752400164317	0	0	2.849002849002849	3.454486281871107	IL4I1
KEGG_2019_Human	African trypanosomiasis	1/37	0.3043076237978344	0.8759509171003083	0	0	2.772002772002772	3.2978965179060378	ICAM1
KEGG_2019_Human	Primary immunodeficiency	1/37	0.3043076237978344	0.8678402604604906	0	0	2.772002772002772	3.2978965179060378	TAP1
KEGG_2019_Human	Thyroid hormone signaling pathway	2/116	0.3126643268552781	0.8834918593708776	0	0	1.7683465959328029	2.0559241416044505	STAT1;ATP2A2
KEGG_2019_Human	Pyruvate metabolism	1/39	0.3178327048738865	0.8899315736468821	0	0	2.6298487836949374	3.0144118867472187	PKM
KEGG_2019_Human	Ferroptosis	1/40	0.3244968202934727	0.9004055914449512	0	0	2.5641025641025643	2.885844978649872	CYBB
KEGG_2019_Human	Glycine, serine and threonine metabolism	1/40	0.3244968202934727	0.89236625580705	0	0	2.5641025641025643	2.885844978649872	PSAT1
KEGG_2019_Human	Tryptophan metabolism	1/42	0.337631363133737	0.9202695561521328	0	0	2.4420024420024418	2.651527766294606	IL4I1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	3/212	0.3416184778811337	0.9229692209420104	0	0	1.4513788098693758	1.5588689787703405	MAP2K3;PPP3CA;TAP1
KEGG_2019_Human	Carbohydrate digestion and absorption	1/44	0.3505118006403525	0.9387620399759006	0	0	2.331002331002331	2.443731713417537	HK3
KEGG_2019_Human	ABC transporters	1/45	0.3568582620179839	0.947520212944302	0	0	2.2792022792022792	2.3485278659773514	TAP1
KEGG_2019_Human	Dopaminergic synapse	2/131	0.3658918738582209	0.9632025397293336	0	0	1.5658641612840083	1.5743470986019856	PPP3CA;ARRB2
KEGG_2019_Human	Cysteine and methionine metabolism	1/47	0.36936668303548187	0.964109647245156	0	0	2.182214948172395	2.173410599873586	IL4I1
KEGG_2019_Human	Ether lipid metabolism	1/47	0.36936668303548187	0.9560078855036002	0	0	2.182214948172395	2.173410599873586	LPCAT1
KEGG_2019_Human	Hedgehog signaling pathway	1/47	0.36936668303548187	0.9480411531244036	0	0	2.182214948172395	2.173410599873586	ARRB2
KEGG_2019_Human	Nucleotide excision repair	1/47	0.36936668303548187	0.9402061022721356	0	0	2.182214948172395	2.173410599873586	RFC4
KEGG_2019_Human	Amino sugar and nucleotide sugar metabolism	1/48	0.3755298304381213	0.948058916188044	0	0	2.1367521367521367	2.092772156027455	HK3
KEGG_2019_Human	Valine, leucine and isoleucine degradation	1/48	0.3755298304381213	0.9403511201214744	0	0	2.1367521367521367	2.092772156027455	IL4I1
KEGG_2019_Human	Human cytomegalovirus infection	3/225	0.3761411357658075	0.9342860469021672	0	0	1.3675213675213675	1.3371498734267528	PPP3CA;TAP1;ARHGEF1
KEGG_2019_Human	Arginine and proline metabolism	1/49	0.3816330514858885	0.9403438388612292	0	0	2.0931449502878072	2.016317593406958	ARG1
KEGG_2019_Human	Ubiquitin mediated proteolysis	2/137	0.38676045985269303	0.945414457417694	0	0	1.4972861688190156	1.4223466133337646	UBA6;UBE2L6
KEGG_2019_Human	Estrogen signaling pathway	2/137	0.38676045985269303	0.9379702490915705	0	0	1.4972861688190156	1.4223466133337646	HSP90AA1;MMP9
KEGG_2019_Human	Insulin signaling pathway	2/137	0.38676045985269303	0.9306423565205424	0	0	1.4972861688190156	1.4223466133337646	HK3;GYS1
KEGG_2019_Human	N-Glycan biosynthesis	1/50	0.3876769258565264	0.9256162260760474	0	0	2.0512820512820515	1.9437599005854744	FUT8
KEGG_2019_Human	Measles	2/138	0.39021009300125853	0.924497758802982	0	0	1.4864362690449646	1.3988405572678937	STAT1;MX1
KEGG_2019_Human	Mineral absorption	1/51	0.39366202772655495	0.9255565232044192	0	0	2.0110608345902463	1.8748366726022585	SLC31A1
KEGG_2019_Human	Glycosaminoglycan biosynthesis	1/53	0.4054581827514645	0.9460690930867504	0	0	1.935171746492501	1.7469521739621725	FUT8
KEGG_2019_Human	VEGF signaling pathway	1/59	0.4394941274407851	1.0	0	0	1.738374619730552	1.4291715321262979	PPP3CA
KEGG_2019_Human	Long-term depression	1/60	0.44497521779193133	1.0	0	0	1.709401709401709	1.3841652798664486	LYN
KEGG_2019_Human	Hepatitis C	2/155	0.4474207734783791	1.0	0	0	1.3234077750206783	1.064358378094315	STAT1;MX1
KEGG_2019_Human	Wnt signaling pathway	2/158	0.4572085453704036	1.0	0	0	1.2982797792924374	1.0160540818886394	PPP3CA;CACYBP
KEGG_2019_Human	Hippo signaling pathway	2/160	0.4636782990431915	1.0	0	0	1.2820512820512822	0.9853388310790506	RASSF2;ITGB2
KEGG_2019_Human	JAK-STAT signaling pathway	2/162	0.470102849554119	1.0	0	0	1.2662234884457106	0.9557502746173088	STAT1;PTPN2
KEGG_2019_Human	Inflammatory bowel disease (IBD)	1/65	0.4715910198976014	1.0	0	0	1.5779092702169626	1.1860246978745448	STAT1
KEGG_2019_Human	Mitophagy	1/65	0.4715910198976014	1.0	0	0	1.5779092702169626	1.1860246978745448	TBC1D15
KEGG_2019_Human	Long-term potentiation	1/67	0.4818782662178634	1.0	0	0	1.5308075009567546	1.1175870746943568	PPP3CA
KEGG_2019_Human	cGMP-PKG signaling pathway	2/166	0.4828136348367981	1.0	0	0	1.2357120790855731	0.8997523002628314	PPP3CA;ATP2A2
KEGG_2019_Human	Amphetamine addiction	1/68	0.486946921711031	1.0	0	0	1.5082956259426847	1.0853697619394411	PPP3CA
KEGG_2019_Human	Renin secretion	1/69	0.4919662434968806	1.0	0	0	1.4864362690449646	1.054396396317137	PPP3CA
KEGG_2019_Human	Tight junction	2/170	0.4953359132962956	1.0	0	0	1.2066365007541475	0.8476852293781622	ARHGEF2;EZR
KEGG_2019_Human	Prolactin signaling pathway	1/70	0.4969367092086064	1.0	0	0	1.465201465201465	1.0246045518701572	STAT1
KEGG_2019_Human	Alzheimer disease	2/171	0.4984365066338929	1.0	0	0	1.1995801469485678	0.8352425449465573	PPP3CA;ATP2A2
KEGG_2019_Human	Adherens junction	1/72	0.5067329606311373	1.0	0	0	1.4245014245014245	0.9683349273764108	PTPRJ
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.5067329606311373	1.0	0	0	1.4245014245014245	0.9683349273764108	ATP2A2
KEGG_2019_Human	p53 signaling pathway	1/72	0.5067329606311373	1.0	0	0	1.4245014245014245	0.9683349273764108	SERPINB5
KEGG_2019_Human	Thyroid hormone synthesis	1/74	0.5163394063529103	1.0	0	0	1.386001386001386	0.9161343942936072	HSPA5
KEGG_2019_Human	Gastric acid secretion	1/75	0.5210725982884489	1.0	0	0	1.3675213675213675	0.8914405508547809	EZR
KEGG_2019_Human	Pancreatic cancer	1/75	0.5210725982884489	1.0	0	0	1.3675213675213675	0.8914405508547809	STAT1
KEGG_2019_Human	Cardiac muscle contraction	1/78	0.534997446547549	1.0	0	0	1.314924391847469	0.8224764035579749	ATP2A2
KEGG_2019_Human	Calcium signaling pathway	2/188	0.5492508562729062	1.0	0	0	1.0911074740861977	0.6537916080009969	PPP3CA;ATP2A2
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	1/85	0.5659421103224853	1.0	0	0	1.2066365007541475	0.686894099055139	ATP2A2
KEGG_2019_Human	Focal adhesion	2/199	0.5801665449999428	1.0	0	0	1.0307950006442468	0.5612061024184792	VTN;LAMA3
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	1/91	0.5908297074294191	1.0	0	0	1.1270780501549733	0.5930994039951164	ATP2A2
KEGG_2019_Human	Morphine addiction	1/91	0.5908297074294191	1.0	0	0	1.1270780501549733	0.5930994039951164	ARRB2
KEGG_2019_Human	GnRH signaling pathway	1/93	0.5988059191563991	1.0	0	0	1.102839812517232	0.565555821841515	MAP2K3
KEGG_2019_Human	Small cell lung cancer	1/93	0.5988059191563991	1.0	0	0	1.102839812517232	0.565555821841515	LAMA3
KEGG_2019_Human	Hematopoietic cell lineage	1/97	0.6142972159995096	1.0	0	0	1.0573618821041502	0.5152274943811275	ITGAM
KEGG_2019_Human	Pancreatic secretion	1/98	0.6180761333136624	1.0	0	0	1.0465724751439036	0.5035516860783987	ATP2A2
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	1/100	0.6255238170451477	1.0	0	0	1.0256410256410258	0.4811957671684994	MAP2K3
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	1/101	0.6291932945229508	1.0	0	0	1.0154861640010155	0.4704917644092929	XRN1
KEGG_2019_Human	Longevity regulating pathway	1/102	0.6328269973376213	1.0	0	0	1.0055304172951232	0.4600886879201237	SOD2
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	1/103	0.6364252725018545	1.0	0	0	0.995767986059248	0.4499758741794817	C1QA
KEGG_2019_Human	Insulin resistance	1/108	0.653897146035962	1.0	0	0	0.9496676163342829	0.4034237501910498	GYS1
KEGG_2019_Human	Glutamatergic synapse	1/114	0.6737640274224568	1.0	0	0	0.8996851102114259	0.3552634611368852	PPP3CA
KEGG_2019_Human	AMPK signaling pathway	1/120	0.6924960232286842	1.0	0	0	0.8547008547008547	0.31406220817708663	GYS1
